City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Dandong,40.1292,124.3947,43.75,82,100,5.08,CN,overcast clouds
80,Vila Franca Do Campo,37.7167,-25.4333,61.21,71,100,4.99,PT,overcast clouds
81,Wabag,-5.4781,143.7021,57.79,99,100,2.77,PG,overcast clouds
82,Goderich,43.7501,-81.7165,30.9,72,100,21.72,CA,overcast clouds
83,Bredasdorp,-34.5322,20.0403,74.77,37,0,16.53,ZA,clear sky
84,Khatanga,71.9667,102.5,11.3,94,100,6.51,RU,overcast clouds
85,Sur,22.5667,59.5289,84.54,47,0,13.31,OM,clear sky
86,Victoria,22.2855,114.1577,81.18,72,10,13.0,HK,clear sky
87,Bima,-8.4667,118.7167,77.83,88,100,3.6,ID,light rain
88,Muros,42.7762,-9.0603,57.09,80,87,8.32,ES,overcast clouds
89,Gadarwara,22.9167,78.7833,104.67,6,22,6.62,IN,few clouds
90,Palora,-1.7,-77.9333,62.47,96,86,2.01,EC,overcast clouds
91,San Cristobal,7.7669,-72.225,66.24,75,95,2.44,VE,overcast clouds
92,Tiksi,71.6872,128.8694,-1.89,94,100,4.56,RU,overcast clouds
93,Camana,-16.6228,-72.7111,67.84,86,92,6.96,PE,overcast clouds
94,Songkhla,6.8333,100.6667,91.45,68,22,7.99,TH,few clouds
95,Comodoro Rivadavia,-45.8667,-67.5,42.66,42,0,13.8,AR,clear sky
96,Kapaa,22.0752,-159.319,73.72,94,40,9.22,US,scattered clouds
97,Thompson,55.7435,-97.8558,-5.94,100,94,3.11,CA,overcast clouds
98,Katsuura,35.1333,140.3,60.82,87,98,16.02,JP,overcast clouds
99,Port Macquarie,-31.4333,152.9167,69.69,94,75,11.5,AU,moderate rain
100,Mahebourg,-20.4081,57.7,76.24,75,99,9.4,MU,light rain
101,Luanda,-8.8368,13.2343,79.27,78,90,3.58,AO,overcast clouds
102,Katherine,-14.4667,132.2667,89.92,35,85,0.0,AU,overcast clouds
103,Norman Wells,65.282,-126.8329,5.14,97,100,5.75,CA,overcast clouds
104,Geraldton,-28.7667,114.6,81.01,69,40,11.5,AU,scattered clouds
105,Beloha,-25.1667,45.05,85.55,41,0,12.8,MG,clear sky
106,Ingham,42.6,-84.3833,35.22,84,100,14.97,US,overcast clouds
