City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sharan,RU,2022-03-10 22:51:50,54.8167,54.0,1.44,100,100,6.06
1,Trnava,SK,2022-03-10 22:51:50,48.3774,17.5872,34.21,50,20,9.66
2,Tromso,NO,2022-03-10 22:51:51,69.6496,18.957,38.37,81,75,21.85
3,Rikitea,PF,2022-03-10 22:47:34,-23.1203,-134.9692,78.76,69,10,6.78
4,Bluff,NZ,2022-03-10 22:45:15,-46.6,168.3333,62.8,66,100,12.15
5,Roebourne,AU,2022-03-10 22:51:51,-20.7833,117.1333,86.81,56,3,3.8
6,Port Alfred,ZA,2022-03-10 22:48:57,-33.5906,26.891,70.86,83,37,3.36
7,Dingle,PH,2022-03-10 22:51:52,10.9995,122.6711,77.5,89,70,6.38
8,Hilo,US,2022-03-10 22:44:43,19.7297,-155.09,82.13,73,40,11.5
9,Xuchang,CN,2022-03-10 22:51:52,34.0167,113.8167,53.49,79,0,3.4
10,Hermanus,ZA,2022-03-10 22:48:52,-34.4187,19.2345,67.8,85,0,10.87
11,Port Elizabeth,ZA,2022-03-10 22:51:53,-33.918,25.5701,64.69,94,0,0.0
12,Laguna,US,2022-03-10 22:51:53,38.421,-121.4238,68.18,14,0,20.71
13,Asfi,MA,2022-03-10 22:51:53,32.2994,-9.2372,55.09,80,4,9.08
14,Coihaique,CL,2022-03-10 22:51:54,-45.5752,-72.0662,63.21,55,40,5.75
15,East London,ZA,2022-03-10 22:51:54,-33.0153,27.9116,70.54,86,11,5.23
16,Mar Del Plata,AR,2022-03-10 22:48:45,-38.0023,-57.5575,68.09,64,0,6.91
17,Cherskiy,RU,2022-03-10 22:51:55,68.75,161.3,13.01,77,100,6.67
18,Chuy,UY,2022-03-10 22:48:50,-33.6971,-53.4616,68.49,77,100,13.24
19,Ushuaia,AR,2022-03-10 22:47:38,-54.8,-68.3,49.66,66,0,9.22
20,Gat,IL,2022-03-10 22:48:03,31.61,34.7642,53.08,100,30,21.07
21,Atuona,PF,2022-03-10 22:47:39,-9.8,-139.0333,78.64,73,23,17.0
22,Kapaa,US,2022-03-10 22:47:32,22.0752,-159.319,81.48,69,0,6.91
23,Saskylakh,RU,2022-03-10 22:47:36,71.9167,114.0833,-35.0,100,99,3.69
24,Acapulco,MX,2022-03-10 22:49:29,16.8634,-99.8901,80.42,74,0,5.75
25,San Ignacio,BZ,2022-03-10 22:51:56,17.1561,-89.0714,95.14,49,20,4.61
26,Touros,BR,2022-03-10 22:50:36,-5.1989,-35.4608,81.23,76,98,15.82
27,Hobart,AU,2022-03-10 22:48:43,-42.8794,147.3294,61.27,58,20,10.36
28,Bredasdorp,ZA,2022-03-10 22:47:39,-34.5322,20.0403,61.92,82,0,3.44
29,Lagoa,PT,2022-03-10 22:51:57,39.05,-27.9833,56.66,60,100,22.17
30,Ust-Tsilma,RU,2022-03-10 22:51:57,65.441,52.1498,9.72,90,85,10.49
31,Jamestown,US,2022-03-10 22:43:13,42.097,-79.2353,40.64,56,20,8.05
32,Half Moon Bay,US,2022-03-10 22:51:57,37.4636,-122.4286,70.18,27,0,13.8
33,Roald,NO,2022-03-10 22:51:58,62.5833,6.1333,52.72,57,0,8.05
34,Hasaki,JP,2022-03-10 22:51:58,35.7333,140.8333,43.2,71,100,12.19
35,Belawan,ID,2022-03-10 22:51:59,3.7755,98.6832,77.29,88,100,4.63
36,Arraial Do Cabo,BR,2022-03-10 22:47:36,-22.9661,-42.0278,76.86,73,0,11.5
37,Manacapuru,BR,2022-03-10 22:51:59,-3.2997,-60.6206,76.73,85,81,1.72
38,Puerto Ayora,EC,2022-03-10 22:50:05,-0.7393,-90.3518,82.36,85,64,5.01
39,Lillooet,CA,2022-03-10 22:52:00,50.6856,-121.942,43.5,56,89,3.56
40,Millinocket,US,2022-03-10 22:52:00,45.6573,-68.7098,42.91,31,0,6.91
41,Kalabo,ZM,2022-03-10 22:52:00,-14.97,22.6814,66.58,89,77,4.34
42,Punta Arenas,CL,2022-03-10 22:48:47,-53.15,-70.9167,59.11,67,75,16.11
43,New Norfolk,AU,2022-03-10 22:52:01,-42.7826,147.0587,61.72,47,4,3.29
44,Albany,US,2022-03-10 22:47:32,42.6001,-73.9662,40.23,76,90,2.42
45,Bambous Virieux,MU,2022-03-10 22:48:57,-20.3428,57.7575,79.05,89,40,3.44
46,Faanui,PF,2022-03-10 22:52:01,-16.4833,-151.75,81.43,70,35,11.48
47,Pangnirtung,CA,2022-03-10 22:53:02,66.1451,-65.7125,-7.6,77,75,0.0
48,Kudahuvadhoo,MV,2022-03-10 22:53:02,2.6708,72.8944,82.11,71,6,8.59
49,Sola,VU,2022-03-10 22:53:02,-13.8833,167.55,83.17,72,87,9.95
50,Beloha,MG,2022-03-10 22:53:03,-25.1667,45.05,74.98,89,27,12.33
